feature,feature_importance
left_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0,2.8398949328081516e-05
left_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.4__ql_0.0,2.3292319824181525e-06
left_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_5__f_agg_"max",0.000887767208218555
left_knee_angle__agg_linear_trend__attr_"rvalue"__chunk_len_10__f_agg_"var",0.0033026507977916893
right_knee_angle__fft_coefficient__attr_"real"__coeff_72,0.0005410782458492378
right_ankle_angle__number_peaks__n_3,0.0002488407217481884
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_32,0.000789306527085645
right_shoulder_angle__time_reversal_asymmetry_statistic__lag_1,0.0
left_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.0,0.0022580141031057835
right_shoulder_angle__count_above_mean,0.001677060054700114
right_ankle_angle__fft_coefficient__attr_"real"__coeff_38,0.00012072475327694981
